SMILES,LogS
C(F)(F)(F)F,-3.6703396281278295
C,-2.8628629026783186
C(C(F)(F)F)(F)(F)F,-4.248930958885993
C(F)(F)F,-1.2334553792079745
C(#N)C(F)(F)F,-5.960795398243874
CC(F)(F)F,-2.0431013869633423
O=C=O,-1.4747921054218602
C(C(C(F)(F)F)(C(F)(F)F)F)(C(C(F)(F)F)(C(F)(F)F)F)(C(C(F)(F)F)(F)F)F,-8.602112495068953
C(C(F)(F)F)(C(F)(F)F)(F)F,-4.518322263125265
CCN(C)CC,1.0596528830929866
C1(C(C(C(C(C1(F)F)(F)F)(F)F)(C(F)(F)F)F)(F)F)(C(F)(F)F)F,-7.60212078829974
C(C(C(C(F)(F)F)(F)F)(F)F)(C(F)(F)F)(C(F)(F)F)F,-6.301078818926371
C(C(F)(F)F)F,-2.0087278866523848
C([N+](=O)[O-])([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],-2.3380822459190136
C(C(F)(F)Cl)(F)(F)F,-3.4254020951892152
CC[N+](CC)(CC)CC,0.8851922600383457
C(F)(F)(F)Cl,-3.064995010901109
C(C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,-5.398741391865386
C(C#N)C#N,0.3039802775694268
C(C(F)(F)Cl)(F)(F)Cl,-3.1188495318383223
C1(C(C(C(C1(F)F)(F)F)(F)F)(F)F)(C(F)(F)F)F,-7.47718205169144
C(C(F)(F)S(=O)(=O)F)(OC(C(F)(F)Cl)(F)Cl)(F)F,-5.956472916252134
C(C(F)(F)Cl)(OC(F)(F)F)(F)Cl,-3.281191037176992
C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,-6.570401640318077
C(C(F)(F)F)(C(F)(F)Cl)(F)Cl,-3.3619775622092063
FCC#N,0.27804520082204226
CC,-2.698536936842693
FCC(C(Cl)(F)F)(F)F,-3.70023485246937
C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,-7.488511546761351
C([N+](=O)[O-])([N+](=O)[O-])([N+](=O)[O-])Cl,-1.9258964877747362
CS(=O)(=O)F,-0.5150270065156092
C(S(=O)(=O)O)(S(=O)(=O)O)(S(=O)(=O)O)Cl,0.5365735542433416
C(S(=O)(=O)O)S(=O)(=O)O,0.7539704167287967
C(CC#N)C#N,0.20022542729290246
CC(C)CNCC(C)C,-1.7689977904906484
C(F)(F)Cl,-1.4943756448202878
CF,-0.17587437653447063
C(C(F)(Cl)Cl)(F)(F)F,-3.096095934691654
CC#N,1.386655100765256
