SMILES,LogS
CCC(CC)O[N+]([O-])=O,-2.4522
Oc1cc(Br)cc(C=O)c1,-3.2502
[H+].[Cl-].CCOC(=O)C1(CCN(C)CC1)c2ccccc2,-1.6368
CCC(O)(COC(N)=O)c1ccccc1,-0.9227
CC(O)C(O)=O,1.0454
C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O,-4.8789
OC(=O)c1c(Cl)cccc1Cl,-1.1309
OC(=O)c1c(Cl)ccc(Cl)c1Cl,-1.4666
O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,-2.6758
CO[C@H]1[C@@H](C[C@@H]2CN3CCc4c([nH]c5cc(OC)ccc45)[C@H]3C[C@@H]2[C@@H]1C(=O)OC)OC(=O)c6cc(OC)c(OC)c(OC)c6,-3.9208
Oc1ccc(Cl)cc1C(=O)Nc2ccc(cc2Cl)[N+]([O-])=O,-5.3106
NCCc1c[nH]c2ccc(O)cc12,-0.945
OC(=O)c1cc(Cl)c(Cl)cc1Cl,-2.4446
OC(=O)c1ccc(Cl)cc1Cl,-2.6003
BrC1=CNC(=O)NC1=O,-2.3698
CNC[C@H](O)c1ccc(O)c(O)c1.O[C@H]([C@@H](O)C(O)=O)C(O)=O,0.0
CNC[C@H](O)c1ccc(O)c(O)c1,-3.0077
CCCC1=CC(=O)NC(=S)N1,-2.1504
CN(CCCl)CCCl,-1.1141
CC(=O)O[C@]1(CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]12C)C#C,-4.8041
CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]3CC[C@@]4(C)[C@@H](CC[C@@]45CCC(=O)O5)[C@H]13,-4.2773
S=[P](N1CC1)(N2CC2)N3CC3,0.0018
CO[P](=O)(OC)C(O)C(Cl)(Cl)Cl,-0.3315
NC(CS)C(O)=O,0.3597
ClC(Cl)C(c1ccc(Cl)cc1)c2ccccc2Cl,-6.5052
CN1CCC[C@H]1c2cccnc2,0.7898
OCC1OC(CC1O)N2C=C(I)C(=O)NC2=O,-2.2481
CN(C)c1ccc(cc1)N=Nc2cccc(C)c2,-5.7769
CC(C)O[P](F)(=O)OC(C)C,-1.0777
CC1=CC(=O)NC(=S)N1,-2.4259
NCCCC(O)=O,1.1006
C[C@@]12[C@H]3CC[C@H](O3)[C@]1(C)C(=O)OC2=O,-3.8156
Nc1ncnc2n(cnc12)C3OC(CO[P](O)(=O)O[P](O)(=O)O[P](O)(O)=O)C(O)C3O,0.2948
CCO[P](=S)(OCC)Oc1ccc2C(=C(Cl)C(=O)Oc2c1)C,-5.3835
NCCCCC(N)C(O)=O,0.8351
OCC(O)CO[P](O)(O)=O,0.7643
C=CCN=C=S,-1.6953
CN(C)N,1.2211
CCOC(=O)C1(CCN(C)CC1)c2ccccc2,-1.8861
OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,0.6353
OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,0.7878
CC(O)CO,1.1186
C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@]2(O)C#C,-4.4192
NC(N)=N[S](=O)(=O)c1ccc(N)cc1,-1.9885
ClC1CC2C(C1Cl)C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl,-6.8644
CCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,-5.3669
C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@H]2O,-4.8441
