SMILES,LogS
NCC(O)=O,0.92
CC1=CCC(CC1)C(C)(C)O,-1.91
CC(C)COC(N)=O,-0.3
CC(=C)C1CC=C(C)C(O)C1,-1.72
CC(C)(C)OC(N)=O,0.1
OCC1OC(O)C(O)C(O)C1O,0.74
CCNC(=S)NCC,-1.46
C\C=C\C=C\C(O)=O,-1.77
NC(CO)C(O)=O,-0.02
ClC(Cl)(Cl)C(Cl)(Cl)Cl,-3.94
OC(=O)CCCC(O)=O,1.0
OC(=O)CCC(O)=O,-0.17
CC(C)(S)C(N)C(O)=O,-0.13
OC(=O)CCCCC(O)=O,-0.82
OC(CC(O)=O)C(O)=O,0.64
OC1=CC=CC=C1,-0.04
NC(CCC(N)=O)C(O)=O,-0.54
CCC1(CC)C(=O)NCC(C)C1=O,-0.38
NC(CCCNC(N)=N)C(O)=O,0.0
CNC(=O)O\N=C(\C)SC,-1.21
[O-][N+](=O)OC1COC2C(COC12)O[N+]([O-])=O,-2.63
CC1(C)C(=O)NC(=O)NC1=O,-1.74
NC1=CC(=CC=C1)N,0.51
O=C1NC(=O)C2(CC2)C(=O)N1,-1.89
CCCCCCCCCCNC(=O)NC1CCCCC1,-2.81
CCC1=CC=C(O)C=C1,-1.4
CCC1(C)C(=O)NC(=O)NC1=O,-1.23
O=C1NC(=O)C2(CCC2)C(=O)N1,-1.66
CC1=CC(=C(C)C=C1C)C,-3.84
ClC1=CC=C(Cl)C=C1,-3.35
CCC1(CC)C(=O)NC(=O)NC1=O,-1.42
CC1(CC=C)C(=O)NC(=O)NC1=O,-1.16
OC1=CC=CC(=C1)C=O,-1.23
OC1=CC(=CC(=C1)O)O,-1.05
CCCC1(CC)C(=O)NC(=O)NC1=O,-1.49
CCC1(CC=C)C(=O)NC(=O)NC1=O,-1.61
CCC1(CC)C(=O)NC(=O)N(C)C1=O,-2.1
O=C1NC(=O)C2(CCCCC2)C(=O)N1,-3.06
CC1=CC=C(C=C1)C(O)=O,-2.53
CC(C)=CCC1(C)C(=O)NC(=O)NC1=O,-2.6
NC(=O)OCC1=CC=CC=C1,-0.35
COC1=NN(CS[P](=S)(OC)OC)C(=O)S1,-3.1
NNC(=O)C1=CC=NC=C1,-0.04
CCC(C)C1(CC)C(=O)NC(=O)NC1=O,-2.39
OC(=O)C1=C(F)C=CC=C1,-1.39
CC(C)C1(C(C)C)C(=O)NC(=O)NC1=O,-2.77
NC1=C(C=CC=C1)C(O)=O,-1.52
OC(=O)C1=CC(=CC=C1)O,-1.24
CCCCCC1(CC)C(=O)NC(=O)NC1=O,-2.51
CCNC(=O)NC(=O)C(=N/OC)/C#N,-2.3
OC1=CC=C(C=C1)[N+]([O-])=O,-0.94
NC1=C(C=CC=C1)[N+]([O-])=O,-1.96
CC1=C(C)C(=C(C)C(=C1C)C)C,-5.23
OC1=CC(=CC=C1)[N+]([O-])=O,-1.07
CCCCCOC(=O)CCCNC(=O)NC1CCCCC1,-2.3
CCC1(CC=C(C)C)C(=O)NC(=O)NC1=O,-2.25
CCCCCC(O)/C=C/C1C(O)CC(O)C1C\C=C\CCCC(O)=O,-2.33
O=C1NC(=S)NC(=O)C12CCCCC2,-3.46
CCCCCCC1(CC)C(=O)NC(=O)NC1=O,-3.05
O=C1NC(=O)C2(CCCCCCC2)C(=O)N1,-2.98
CCCCCCCCCCNC(=O)N[C]12C[CH]3[CH2]C([CH2][CH](C3)C1)C2,-5.83
CC/C=C(C)/C1(CC)C(=O)NC(=O)NC1=O,-2.31
[NH]1C=CC2=C1C=CC=C2,-1.21
CCC(C)C1(CC=C)C(=O)NC(=O)NC1=O,-2.02
CC12CCC3C(CCC4CC(=O)CCC34C)C1CCC2O,-4.74
CC(=O)NC1=CC=CC(=C1)O,-1.06
CCCCCCCC1(CC)C(=O)NC(=O)NC1=O,-3.43
COC1=CC(=CC=C1)C(O)=O,-1.93
CC(=O)NC1=C(O)C=CC=C1,-2.13
COC1=CC=CC=C1C(O)=O,-1.6
CC(C)C1(CC=C(C)C)C(=O)NC(=O)NC1=O,-2.59
CC1=CC(=C(O)C=C1)C(O)=O,-2.76
CO[P](=O)(NC(C)=O)SC,0.54
CCCCCCCCC1(CC)C(=O)NC(=O)NC1=O,-3.94
[O-][N+](=O)C1=CC=CC(=C1)C=O,-1.98
CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,-3.6
CCOC(=O)C1=CC=C(O)C=C1,-2.2
CCC1C(=O)NC(=O)NC1=O,-0.92
NC1=CC(=C(O)C=C1)C(O)=O,-2.26
S=C=NC1=CC=CC(=C1)C#N,-3.19
COC(=O)C1=CC=C(OC)C=C1,-2.34
CCCCCCCCCC1(CC)C(=O)NC(=O)NC1=O,-4.46
COC(=O)CCCNC(=O)N[C]12C[CH]3[CH2]C([CH2][CH](C3)C1)C2,-2.25
OC(=O)C1=CC(=CC=C1O)O,-0.85
CC(C)=CCC1(C(=O)NC(=O)NC1=O)C(C)(C)C,-3.55
CC(=O)NC1=CC=C(C=O)C=C1,-1.63
CCC1(C(=O)NC(=O)NC1=O)C2=CCCCCC2,-3.0
CCCOC(=O)C1=CC=C(O)C=C1,-2.68
O=C1NC(=O)C2(CCCCCCCCCC2)C(=O)N1,-4.59
CN(C)C1=CC=C(C=C1)N=C=S,-4.13
CC12CCC3C(CCC4=CC(=O)CCC34)C1CCC2(O)C#C,-4.63
N#CC(=NNC1=CC=CC=C1)C#N,-3.36
CCCCCC(O)/C=C/C1C(O)CC(=O)C1CCCCCCC(O)=O,-3.67
OC1=C(F)C(=C(F)C(=C1F)F)F,-0.52
OC(=O)C1=C(Br)C=CC=C1,-2.05
CN(C)C=NC1=C(C)C=C(Cl)C=C1,-2.88
O=C1NC(=O)C2(CCCCCCCCCCC2)C(=O)N1,-5.8
CCCCCC(O)/C=C/C1C(O)CC(=O)C1C\C=C\CCCC(O)=O,-2.47
ClC1=C(Cl)C2(Cl)C3C4CC(C=C4)C3C1(Cl)C2(Cl)Cl,-6.31
CC12CCC3C(CCC4=CC(=O)CCC34C)C1CCC2=O,-3.7
CCC1=C(CCCC1)C2(CC)C(=O)NC(=O)NC2=O,-3.53
CCC12CCC3C(CCC4=CC(=O)CCC34)C1CCC2(O)C#C,-5.19
C1=NC2=C(N=C1)N=CN=C2,0.02
CC(C)=CC1C(C(=O)OCN2C(=O)C3=C(CCCC3)C2=O)C1(C)C,-5.26
OC(=O)CNC(=O)C1=CC=CC=C1,-1.69
CN(C)C(=O)NC1=CC=C(Cl)C=C1,-2.89
OC(=O)C1=C(C=CC=C1)[N+]([O-])=O,-1.35
OC(=O)C1=CC=C(C=C1)N=C=S,-3.98
NCC(CC(O)=O)C1=CC=C(Cl)C=C1,-1.7
OC(=O)C1=CC(=CC=C1)N=C=S,-3.25
CCNC1=NC(=NC(=N1)Cl)NCC,-4.55
CCC(C)C1(CC(Br)=C)C(=O)NC(=O)NC1=O,-2.65
CCCCCOC(=O)CCCNC(=O)N[C]12C[CH]3[CH2]C([CH2][CH](C3)C1)C2,-2.32
OCC(O)C1OC(=O)C(=C1O)O,0.28
OC(=O)C1=C(O)C=CC(=C1)Br,-2.65
C1=CC=C(C=C1)C2=CC=CC=C2,-4.32
CC(CCC(O)=O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,-4.57
IC1=CC=C(C=C1)N=C=S,-4.05
CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,-4.43
NC(=O)N/N=C/C1=CC=C(O1)[N+]([O-])=O,-2.98
CC(C)NC1=NC(=NC(=N1)Cl)NC(C)C,-4.46
ClC(Cl)(Cl)C(NC=O)N1CCN(CC1)C(NC=O)C(Cl)(Cl)Cl,-4.16
CON(C)C(=O)NC1=CC=C(Cl)C=C1,-2.47
OC(=O)C1=CC=C(Cl)C(=C1)[N+]([O-])=O,-2.76
OC(=O)CCCOC1=C(Cl)C=C(Cl)C=C1,-3.57
CC(CCC(O)=O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,-3.63
OC(=O)CC1=CC(=C(OCC=C)C=C1)Cl,-3.13
CC1=CC=C(C)C2=C1C=CC=C2C,-4.92
OC(=O)C1=C(C(=CC=C1)Cl)[N+]([O-])=O,-2.63
OC1=CC=CC2=C1C=CC=C2O,-2.92
NNC1=NN=CC2=C1C=CC=C2,-2.6
COC1=C(C(O)=O)C(=CC=C1Cl)Cl,-1.7
CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC12C,-3.82
ClCC#CCOC(=O)NC1=CC(=CC=C1)Cl,-4.24
CCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,-5.37
C[S](=O)(=O)OCCCCO[S](C)(=O)=O,-2.27
OC(=O)CC1=C(Cl)C=CC(=C1Cl)Cl,-3.08
OC(CCN1CCCC1)(C2CCCCC2)C3=CC=CC=C3,-4.7
CNC(=O)OC1=C2OC(C)(C)CC2=CC=C1,-2.42
OC(CCN1CCCCC1)(C2CCCCC2)C3=CC=CC=C3,-5.2
ClC1=CC2=C(C=CC=C2)C=C1Cl,-5.36
ClC1=CC2=C(C=CC=C2Cl)C=C1,-5.92
OCC1OC(OC2=CC=CC=C2CO)C(O)C(O)C1O,-0.85
ClC1=CC=CC2=C1C=CC=C2Cl,-5.7
S=C=NC1=CC2=CC=CC=C2C=C1,-4.44
CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C1CCC2C(=O)CO,-3.24
OC(=O)COC1=C(Cl)C=C(Cl)C(=C1)Cl,-2.98
OC(=O)COC1=C(Cl)C(=C(Cl)C=C1)Cl,-3.1
