SMILES,LogS,MW,MW_Group
ClCC(Cl)(Cl)Cl,-2.18,167.85,<200
CC(Cl)(Cl)Cl,-2.0,133.405,<200
ClC(Cl)C(Cl)Cl,-1.74,167.85,<200
ClCC(Cl)Cl,-1.48,133.405,<200
FC(F)(Cl)C(F)(Cl)Cl,-3.04,187.37500000000003,<200
CC(Cl)Cl,-1.29,98.96000000000001,<200
ClC(=C)Cl,-1.64,96.94399999999999,<200
CCOC(C)OCC,-0.43,118.176,<200
Clc1ccc(Cl)c(Cl)c1Cl,-4.57,215.894,200-300
C1CCc2ccccc2C1,-4.37,132.20599999999996,<200
Clc1cc(Cl)c(Cl)c(Cl)c1,-4.63,215.894,200-300
Clc1cccc(Cl)c1Cl,-4.0,181.44899999999998,<200
Cc1cccc(C)c1C,-3.2,120.195,<200
Brc1cc(Br)c(Br)cc1Br,-6.98,393.69800000000004,>400
Clc1cc(Cl)c(Cl)cc1Cl,-5.56,215.894,200-300
Cc1cc(C)c(C)cc1C,-4.59,134.22199999999998,<200
c1(Br)c(Br)cc(Br)cc1,-4.5,314.802,>400
Clc1ccc(Cl)c(Cl)c1,-3.59,181.449,<200
Cc1ccc(C)c(C)c1,-3.31,120.195,<200
Oc1ccccc1O,0.62,110.11199999999998,<200
Brc1ccccc1Br,-3.5,235.90599999999998,200-300
BrCCBr,-1.68,187.862,<200
Clc1ccccc1Cl,-3.05,147.00399999999996,<200
ClCCCl,-1.06,98.96000000000001,<200
CC(Cl)CCl,-1.6,112.98700000000001,<200
FC(F)(Cl)C(F)(F)Cl,-2.74,170.92000000000002,<200
CCOCCOCC,-0.77,118.176,<200
CCc1ccccc1CC,-3.28,134.22199999999998,<200
O=N(=O)c1ccccc1N(=O)=O,-3.1,168.10799999999995,<200
CC1CO1,-0.59,58.08,<200
Brc1cc(Br)cc(Br)c1,-5.6,314.802,>400
Clc1cc(Cl)cc(Cl)c1,-4.48,181.449,<200
Cc1cc(C)cc(C)c1,-3.4,120.19499999999998,<200
O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,-2.89,213.10499999999996,200-300
Oc1cccc(O)c1,0.81,110.11199999999998,<200
C=CC=C,-1.87,54.09199999999999,<200
Brc1cccc(Br)c1,-3.54,235.90599999999998,200-300
Clc1cccc(Cl)c1,-3.04,147.004,<200
ClCCCCl,-1.62,112.98700000000001,<200
CCNC(=S)NCC,-1.46,132.232,<200
Fc1cccc(F)c1,-2.0,114.094,<200
Cc1cc(C)c2ccccc2c1,-4.29,156.22799999999998,<200
O=N(=O)c1cccc(c1)N(=O)=O,-2.29,168.10799999999995,<200
Oc1ccc(O)cc1,-0.17,110.11199999999998,<200
C1C=CCC=C1,-2.06,80.12999999999998,<200
Brc1ccc(Br)cc1,-4.07,235.90599999999998,200-300
Clc1ccc(Cl)cc1,-3.27,147.00400000000002,<200
CCc1ccc(CC)cc1,-3.75,134.22199999999998,<200
Fc1ccc(F)cc1,-1.97,114.094,<200
Cc1ccc(C)c2ccccc12,-4.14,156.228,<200
O=N(=O)c1ccc(cc1)N(=O)=O,-3.39,168.10799999999995,<200
C=CCC=C,-2.09,68.119,<200
Cc1cccc2c(C)cccc12,-4.679,156.228,<200
C=CCCC=C,-2.68,82.14599999999999,<200
c1cnc2c(c1)ccc3ncccc23,-2.68,180.20999999999998,<200
CC12CCC(CC1)C(C)(C)O2,-1.74,154.253,<200
CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-3.999,302.4580000000001,>400
Nc2cccc3nc1ccccc1cc23 ,-4.22,194.23700000000002,<200
CC(C)CBr,-2.43,137.01999999999998,<200
CCCCBr,-2.37,137.01999999999998,<200
CCCCCCCBr,-4.43,179.101,<200
CCCCCCBr,-3.81,165.074,<200
Brc1cccc2ccccc12,-4.35,207.07,200-300
CCCCCCCCBr,-5.06,193.128,<200
CCCCCBr,-3.08,151.047,<200
CCCBr,-1.73,122.993,<200
CCCCO,0.0,74.12299999999999,<200
CCC=C,-1.94,56.108,<200
CCC#C,-1.24,54.09199999999999,<200
ClCCBr,-1.32,143.411,<200
ClCC(C)C,-2.0,92.569,<200
CCCCCl,-2.03,92.56899999999999,<200
CCCCCCCCl,-4.0,134.65,<200
CCCCCCCl,-3.12,120.623,<200
Clc1cccc2ccccc12,-3.93,162.61899999999997,<200
CCCCCCl,-2.73,106.596,<200
CCCCl,-1.47,78.542,<200
CCCCCCCCCCO,-3.63,158.285,<200
CCCCCCCCC=C,-5.51,140.26999999999998,<200
CCCCCCCCCCCCO,-4.8,186.33899999999997,<200
CCc1cccc2ccccc12,-4.17,156.22799999999998,<200
CCCCCCCO,-1.81,116.204,<200
CCCCCC=C,-3.73,98.189,<200
CCCCCC#C,-3.01,96.17299999999999,<200
CCCCCCCCCCCCCCCCO,-7.0,242.44699999999992,200-300
CCCCCCO,-1.24,102.17699999999999,<200
CCCCC=C,-3.23,84.16199999999999,<200
CCCC(O)C=C,-0.59,100.16099999999999,<200
CCCCC#C,-2.36,82.14599999999999,<200
CCCCI,-2.96,184.01999999999998,<200
CCCCCCCI,-4.81,226.101,200-300
Ic1cccc2ccccc12,-4.55,254.07000000000002,200-300
CCCI,-2.29,169.993,<200
CC1=CCCCC1,-3.27,96.17300000000002,<200
Cc1cccc2c1Cc3ccccc32,-5.22,180.25000000000003,<200
Cc1cccc2ccccc12,-3.7,142.201,<200
Cc1cccc2c1ccc3ccccc32,-5.85,192.261,<200
Cn1ccc(=O)[nH]c1=O,-0.807,126.115,<200
Oc1cccc2ccccc12,-2.22,144.17299999999997,<200
Nc1cccc2ccccc12,-1.92,143.189,<200
O=N(=O)c1cccc2ccccc12,-3.54,173.171,<200
CCCN(=O)=O,-0.8,89.09399999999998,<200
CCCCCCCCCO,-3.01,144.258,<200
CCCCCCCC=C,-5.05,126.243,<200
CCCCCCCC#C,-4.24,124.22699999999999,<200
CCCCCCCCCCCCCCCCCCO,-8.4,270.50099999999986,200-300
CCCCCCCCO,-2.39,130.23100000000002,<200
CCCCCCC=C,-4.44,112.216,<200
CCCCCCC#C,-3.66,110.19999999999999,<200
CCCCCCCCCCCCCCCO,-6.35,228.41999999999993,200-300
CCCCCO,-0.6,88.14999999999999,<200
CCCC=C,-2.68,70.135,<200
CCCC#C,-1.64,68.11899999999999,<200
CC(O)c1ccccc1,-0.92,122.16699999999996,<200
CCCO,0.62,60.096,<200
CCCCCCCCCCCCCCO,-5.84,214.39299999999994,200-300
Clc1c(Cl)c(Cl)c(c(Cl)c1Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl ,-11.6,498.66200000000026,>400
