SMILES,LogS
CC[N+](CC)(CC)CC,0.8851922600383457
FCC#N,0.27804520082204226
FCC(C(Cl)(F)F)(F)F,-3.70023485246937
ClC(C(F)(F)F)C(F)(F)F,-3.717964044070448
FC1C(F)(F)C(C(C1(F)F)(F)F)F,-3.6341710172328985
FCCCC#N,-0.7668244076992141
FC(C(C(F)F)(Cl)Cl)F,-3.4547908298067918
FC(C(C(Cl)(Cl)Cl)(F)F)F,-4.492400229495375
FC(C(C(Cl)F)(F)F)F,-3.0682116384963964
ClC(C(F)F)C(F)F,-2.4171140453725624
O=C(OCC(Cl)(Cl)Cl)OCC(Cl)(Cl)Cl,-4.921646362146209
FCCCCC#N,-1.2888594854275608
FC1(F)C(F)(F)C(C1(F)Cl)(F)Cl,-3.7082661966043906
FC(C(Br)(F)F)Cl,-3.315795895724903
FCCCCCC#N,-1.8108552551435908
CCOP(=O)(OP(=O)(OC)OC)OCC,-0.6581025449947645
ClCCC#N,-0.2900067816183951
ClCCOS(=O)(=O)C,-0.43314181240246785
FCCCCCCC#N,-2.331602117045223
Cl[C@@H](C(F)(F)F)Br,-1.7099977997085167
CCP(=O)(OC(C)C)F,-0.9498185330038281
O[P](O)(=O)O[C@H]1[C@H](O[P](O)(O)=O)[C@@H](O[P](O)(O)=O)[C@H](O[P](O)(O)=O)[C@@H](O[P](O)(O)=O)[C@H]1O[P](O)(O)=O,0.18043632424850045
CCOP(=O)(OC(C(Cl)(Cl)Cl)Cl)OCC,-3.5891209804368582
COP(=O)(OP(=O)(OC(C)C)OC(C)C)OC,-1.5750651425926963
ClC(P(=O)(O)O)(P(=O)(O)O)Cl,-2.7929133855538923
[O-][N+](=O)CC(=O)OC,-0.8911328068693511
OC(C(F)(F)F)O,-0.08505186033486997
ClC1CS(=O)(=O)CC1Cl,-0.6866339713219345
CC[C@H](Cl)C,-1.960007975862714
CCC(C(=O)OCC(Cl)(Cl)Cl)(CC)Cl,-4.319890683202537
[O-][N+](=O)CC(=O)OCC,-1.4123806149950062
C[C@H]([C@@H](Cl)C)Cl,-2.7000068386668437
FCCCCCl,-2.1443130581735614
CCC[C@H](Cl)C,-2.6300082485016163
CC(C12COP(=O)(OC1)OC2)C,-1.1252846774907472
N#Cc1cc(ccc1C#N)[N+](=O)[O-],-1.8920293885468618
FCCCCCCl,-2.6658749539319944
FC1=C(F)C(F)(F)C(C(C1(F)F)(F)F)(F)F,-3.818606893316599
FC1=C(F)C(C(C1(F)F)(F)F)(F)F,-3.0146639546272893
FCCCCCCCl,-3.1873171123372135
CCC12COP(=O)(OC1)OC2,0.4250534888332828
O=S1(=O)CC2C(C1)O2,0.8724060854364293
CCOC(=O)C(C(C(F)(F)F)(C(F)(F)F)O)C(=O)OCC,-2.392896724468835
BrCC(C(F)F)(F)F,-3.207505849295131
CC(=O)OCC[N+](C)(C)C,0.8350139818462905
FC1=C(F)C(C1(F)F)(F)F,-1.8677734156185284
FCCCCCCCCCl,-4.230180610337527
CCCC[C@@H](CC)C,-5.1600112055782095
N#Cc1cc(C#N)cc(c1)C#N,-1.124413489522748
ClC[C@H](CBr)Br,-2.380001937627994
C[C@@H](C(F)(F)F)O,0.3000000100768433
NS(=O)(=O)C1CCCCC1,-1.413483375839458
CCC(C(=O)OCC(Cl)(Cl)Cl)CC,-4.516853901773612
FCCCCCCCCCCCC#N,-4.93971103896579
CCOC(=O)C(Br)(Br)Br,-3.693515479154685
FCCCCCCCCCCCl,-5.272381682293677
N#Cc1cc([N+](=O)[O-])c(c(c1)[N+](=O)[O-])Cl,-3.0692980119250652
COC(=O)c1cc(cc(c1)[N+](=O)[O-])C(=O)OC,-2.5998576527535517
CCC(C(=O)OC(C(Cl)(Cl)Cl)C)CC,-5.0373766738765156
CCC(C(=O)OCC(Br)(Br)Br)CC,-5.716898167545373
BrC1CS(=O)(=O)CC1Br,-1.4873353022671352
BrC(C(=O)OCC(Cl)(Cl)Cl)C(C)C,-4.800121118200985
FC1=C(C)C(F)(F)C(C(C1(F)F)(F)F)(F)F,-4.210367339225189
BrC[C@H](Br)C,-2.1500022511840142
CC(=O)OCN([N+](=O)[O-])CN([N+](=O)[O-])CN([N+](=O)[O-])COC(=O)C,-1.7478852949861547
CCOC(C(Cl)(Cl)Cl)O,-0.6120727719146201
OC(=O)c1cc(cc(c1)C(F)(F)F)C(F)(F)F,-4.329034586888655
CCCCCCCCCCCCCCCCOP(=O)(OCCCCCCCCCCCCCCCC)O,-15.205120190809872
CC(C(C(=O)OC(C(Cl)(Cl)Cl)C)Br)C,-5.258528202664522
COP(=O)(CCOC(=O)C)OC,-0.15902728532323068
OC(C(Br)(Br)Br)O,-1.7082350289937631
COC(=O)CCC[N+](=O)[O-],-1.0813443557292304
ClC1CS(=O)(=O)CC1O,0.7679980882649878
OC(C(Br)(Br)Br)NC(=O)C(F)(F)F,-2.867712398029101
C[C@@H]1CCCC[C@H]1C,-4.270011610623297
C[C@H](C[C@H](C)C(=O)O)C(=O)O,-0.45639891538988897
FCCCCBr,-2.5443510807315883
CCCC1OC(CCC)OC(O1)CCC,-3.8895025095735747
CCC(COC(=O)C)(COC(=O)C)CC,-3.12550132628901
C[C@@H]1O[C@@H]1P(=O)(O)O,0.8068294400014969
FCCCCCCCCBr,-4.630804485406582
FCCCCCCBr,-3.5877465517943903
CCOC(=O)C(C(C(F)(F)F)(C(F)(F)F)O)C(=O)C,-1.2360038346304942
O=C1OC(=O)C2(C(C1CC2)(C)C)C,-3.0992327830895987
OC1C(=O)NC(=O)NC1=O,-0.8426514399534861
C[C@@H]1CCCC[C@@H]1C,-4.269737471841539
[O-][N+](=O)NC,1.1188705159038004
CCCCCCCCC(C(=O)O)CCCCCC,-6.0753302202461095
CCCCCCCCCCCCCCCC(=O)OCCCCOC(=O)CCCCCCCCCCCCCCC,-16.259391697647732
CCCC(COC(=O)NC(C(Cl)(Cl)Cl)O)(COC(=O)NC(C(Cl)(Cl)Cl)O)C,-7.155034764579237
O=C1NC(=O)C(O1)(C)C,-0.35985502561184696
[O-][N+](=O)N(CCO[N+](=O)[O-])CCO[N+](=O)[O-],-1.2190748200257724
CCCCCCCC(C(=O)OCC)CCCCCCC,-7.821611284517244
[O-][N+](=O)c1cccc(c1)P(=O)(c1cccc(c1)[N+](=O)[O-])O,-3.0705158425279215
CC1([C@H]([C@@H]1C(=O)O)C(=O)O)C,-0.9660813240580604
O=C1OCC(C1)(C)C,-0.5171312225994136
CC(=O)OCC#C,-0.4164904507264703
CCCC(COC(=O)N)(COC(=O)NC(=O)C)C,-1.8891232284799597
O=C1CCC2(O1)CCCCC2,-1.97063422577222
FC(c1ccc(cc1)S(=O)(=O)N)(F)F,-1.9814773817061488
CCCC(C(COC(=O)N)COC(=O)N)C,-2.1229793780587456
C1[C@H]([C@@H]2[C@H](O1)[C@H](CO2)O[N+](=O)[O-])O[N+](=O)[O-],-2.6327995127878085
COC(=O)c1ccccc1S(=O)(=O)N,-0.7793778323214193
CC(OC(=O)c1ccccc1S(=O)(=O)N)C,-2.3957693195803915
CC(CC(COC(=O)N)COC(=O)N)C,-1.6009788856572869
CCCCC(COC(=O)N)(COC(=O)N)C,-2.1538298220533254
CC(C(COC(=O)N)(COC(=O)N)C)C,-1.569588885630074
CCCCCC(COC(=O)N)(COC(=O)N)CC,-3.1954294930222042
CCC(C(COC(=O)N)COC(=O)N)C,-1.6009788856572869
CCCCCC(COC(=O)N)COC(=O)N,-2.1841738381373887
CCCCCCC(COC(=O)N)COC(=O)N,-2.7075366939888337
CCC(CC(C)C)(COC(=O)N)COC(=O)N,-2.612609352967861
O=C1C=CC2(O1)CCC12C=CC(=O)O1,-0.4278682049319344
CC(C#C)OC(=O)CCC(=O)O,0.7691297617840082
CCCCC(COC(=O)N)COC(=O)N,-1.6641050706393854
CCC(C(COC(=O)N)(COC(=O)N)C)CC,-2.612609352967861
CCCCC(COC(=O)N)(COC(=O)N)CC,-2.674646101923373
NC(=O)C#CC(=O)N,0.9504370054041126
CCCC(COC(=O)N)COC(=O)N,-1.1427979499751484
NC(=O)OCC1(CCCC1)COC(=O)N,-1.5213550443015873
CCCC(C(OC(=O)N)C)COC(=O)N,-1.6009788856572869
CC(CC(COC(=O)N)(COC(=O)N)C)C,-2.08955562205707
CCC1(CC)COC(=O)NC1=O,-1.6376719096360726
NC(=O)OCC(C(C)(C)C)COC(=O)N,-1.569588885630074
CCCCOC(=O)CC(=CC(=O)OCCCC)C(=O)OCCCC,-6.5827576589685375
CCC(COC(=O)N)(COC(=O)N)CC,-1.6322484296609783
CCC(C(C)C)(COC(=O)N)COC(=O)N,-2.08955562205707
CC(CCC(COC(=O)N)(COC(=O)N)C)C,-2.612609352967861
CCCCCC(COC(=O)N)(COC(=O)N)C,-2.674646101923373
CCCC(C(C(COC(=O)N)CC)OC(=O)N)C,-3.1345042138364483
NNC(=O)CC#N,0.4192568563475749
O=C1OCC2(C1)CCCCC2,-1.97063422577222
CCCC(C(COC(=O)N)(COC(=O)N)C)C,-2.612609352967861
CC12COP(OC1)OC2,0.07986784646883001
NC(=O)OCC(C(C)(C)C)(COC(=O)N)C,-2.0585213880873128
FCC(=O)NC(C(Br)(Br)Br)O,-1.934547017755804
N#Cc1c(F)c(F)c(c(c1F)F)C#N,-3.702012693439276
CCCCCCCCCCCCCCCC(=O)OCCO,-6.0895497148781095
CCC(C(COC(=O)N)(COC(=O)N)CC)C,-2.612609352967861
CC1(C)[C@@H]([C@@H]1C(O)=O)C(O)=O,-0.6439829858718952
