SMILES,LogS
O=C=O,-1.4747921054218602
C(F)(F)(F)Cl,-3.064995010901109
C(C#N)C#N,0.3039802775694268
C(S(=O)(=O)O)(S(=O)(=O)O)(S(=O)(=O)O)Cl,0.5365735542433416
C(S(=O)(=O)O)S(=O)(=O)O,0.7539704167287967
C(C(F)(Cl)Cl)(F)(F)F,-3.096095934691654
C(F)(F)(Cl)Cl,-2.634997126617411
C(C(F)(Cl)Cl)(F)(Cl)Cl,-3.1889982954084353
C(C(F)(F)F)(F)Cl,-1.9589952268163626
C(C(Cl)(Cl)Cl)(F)(F)Cl,-3.3092982954639765
C(S(=O)(=O)O)(S(=O)(=O)O)Cl,0.6764754612457324
CCF,-1.3477009036973926
C([N+](=O)[O-])(Cl)(Cl)Cl,-2.0059986789283664
CC(C)CC#N,-0.8060208967308031
CCOS(=O)(=O)C,0.40197691366038885
C(C(Cl)Cl)(C(Cl)Cl)Cl,-2.722300602267255
CCC(Cl)(Cl)Cl,-1.8898014727727517
CC(C)CO[N+](=O)[O-],-1.9521000001221278
C([N+](=O)[O-])([N+](=O)[O-])([N+](=O)[O-])Br,-1.7704971667716698
CCCCCO[N+](=O)[O-],-2.56800065237116
C(C(Cl)Cl)Cl,-1.4800009766588804
CS(=O)(=O)OCCCCOS(C)(=O)=O,-2.270022922690485
C(F)Cl,-0.833190730876775
CCC(CC)O[N+](=O)[O-],-2.452200652338716
C(C(F)(F)Br)(F)(F)Br,-4.937597325532953
C(C(CCl)(Cl)Cl)Cl,-2.5785009551576397
CC(C)OP(=O)(C)F,0.8535999998772246
C(C(Cl)Cl)(Cl)Cl,-1.754000517472216
CC(C)CCO[N+](=O)[O-],-2.480900652381254
CCOP(=O)(C(Cl)(Cl)Cl)OCC,-1.75410000002767
C(CCl)Cl,-1.065001755431302
CC(C(Cl)Cl)Cl,-1.8898014727727517
CCCOP(=O)(OC)OC,0.47330025834628636
CCOP(=O)(OC)OC,0.5112008454845588
C(C(=O)O)(C(Cl)(Cl)Cl)O,0.36000202087269817
C(OCCl)Cl,-0.7181000000240236
CCCOP(=O)(OCC)OCCC,-0.980201033051736
CCCC[N+](=O)[O-],-1.3510016845906023
CCC[N+](=O)[O-],-0.7740009748045631
COP(=O)(OC)OC,0.5530015502137013
CCCCS(=O)(=O)C(S(=O)(=O)CCCC)S(=O)(=O)CCCC,-2.973824681628363
CCCOP(=O)(OCCC)OCCC,-1.54120135571359
CCCCC[N+](=O)[O-],-1.9550022241876763
CCCCCOP(=O)(OCC)OCC,-1.4757013557327572
IC#N,-0.6333000000348865
CCCOP(=O)(OC)OCCC,-0.6592006641196894
CCCCOP(=O)(OCC)OCC,-1.1466010328985328
C(=O)(C(=O)O)O,0.3880067531197909
CCCOP(=O)(OCC)OCC,0.40629933588192824
CCOP(=O)(OCC)OCC(C)C,-1.1765010328549965
C1(=O)N(C(=O)N(C(=O)N1Cl)Cl)Cl,-1.2870994392271136
COC(=O)C(=O)OC,-0.29189632229887097
CCCCOP(=O)(OC)OCCCC,-1.4995013557467216
CCC(CC)CC,-4.520006934580248
CC(C)CCC(C)C,-4.921006843403991
CCCC(C)(C)CCC,-5.5850067723220285
CCCC(C)(C)CC,-4.998006843584963
CCOC(=O)C(=O)OCC,-0.6084982169231331
C1=CC(=C(C=C1C(=O)O)[N+](=O)[O-])[N+](=O)[O-],-1.5009971336107957
CCC(CC)COC(=O)NS(N)(=O)=O,-1.7487147166903751
C1=CC2=C(C(=C1)S(=O)(=O)O)C(=O)C3=C(C2=O)C(=CC=C3)S(=O)(=O)O,0.25718632288196575
CCCC(C)CCC,-5.132006843349097
CCCC(C)CC(C)C,-5.530006771953862
CCCCC(CC)COC(=O)NS(N)(=O)=O,-2.4020137689759222
CCCCC(C)CC(C)C,-6.103006715819723
CCCC(CC)CC,-5.152006843444698
C1CCC(CC1)Cl,-2.375204027814111
CCCCC(C)(C)CC,-5.630006772441545
CCC(C)CC(C)CC,-5.60000677226324
CCC(C)C(C)CC,-5.155006843254854
CCC(C)CCC(C)C,-5.60000677226324
CCCC(C)(CC)CC,-5.7100067719078655
CCCCCC(C)CCC,-6.322006716573738
CCC(C)(C)CC(C)C,-5.480006772691833
CCC(C)(CC)CC,-5.145006843287882
CCCC(C)C(C)C,-5.082006843634737
CCCCOP(=O)(C)OCCCC,-1.415502294123556
C1=C(C=C(C=C1C(=O)O)[N+](=O)[O-])C(=O)O,-1.9799967088496029
CCCC(CC)CCC,-5.720006772740956
